label	TSNE_1	TSNE_2
KIDNEY 	-1.673271	24.567236
LARGE_INTESTINE	74.86832	-37.975323
PANCREAS	-2.783719	-8.573303
CENTRAL_NERVOUS_SYSTEM	-41.54415	-64.97497
UPPER_AERODIGESTIVE_TRACT	-8.232708	-27.143967
CENTRAL_NERVOUS_SYSTEM	-31.751453	-22.28803
LARGE_INTESTINE	23.879501	18.972532
STOMACH 	58.17977	-30.24378
STOMACH 	34.61683	-4.7633066
STOMACH 	56.54494	-32.59701
LARGE_INTESTINE	64.291534	-33.61663
STOMACH 	57.442204	-34.186947
CENTRAL_NERVOUS_SYSTEM	-24.696877	-23.734392
STOMACH 	5.1694107	-11.039548
STOMACH 	-1.5469986	-51.894997
CENTRAL_NERVOUS_SYSTEM	0.5317981	-11.517256
LARGE_INTESTINE	63.580406	-43.240948
OVARY	21.070803	8.979272
UPPER_AERODIGESTIVE_TRACT	33.147427	19.849766
OVARY	15.74859	5.3143687
LARGE_INTESTINE	69.159645	-40.896416
LARGE_INTESTINE	42.493908	-3.017106
LARGE_INTESTINE	72.32999	-47.98418
LARGE_INTESTINE	41.211205	-2.435567
LUNG	26.362122	-27.480062
HALT	-19.838621	1.075903
HALT	-52.519966	88.22548
PANCREAS	31.409538	17.86014
HALT	-59.17659	81.60716
HALT	-17.96015	-1.4724212
HALT	-56.401245	81.39539
HALT	-55.866814	77.80768
HALT	-53.777893	82.901665
HALT	-51.610447	90.42245
PANCREAS	73.76736	-24.107376
HALT	-52.822906	97.304726
HALT	-19.676165	0.13955198
HALT	-30.625124	87.96838
HALT	-31.72479	93.96982
